name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
Bahamas,42853849000,0.01%,112255,99%,99%,0%,0%,1%,4404247,1.51%,377930,11.65,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,20036,63247,7755,55492,2016,Barrels,,-20036
Guinea,48146986000,0.01%,3990,78%,78%,0%,0%,22%,2071798,3.20%,11738429,0.18,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,19001,0,0,,2016,Barrels,0,-19001
Réunion,46915585000,0.01%,53548,79%,79%,0%,0%,21%,1132331,3.55%,869743,1.3,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,17999,0,0,,2016,Barrels,0,-17999
Haiti,48163170000,0.01%,4386,99%,99%,0%,0%,1%,3086897,1.71%,10839970,0.28,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,23000,0,0,,2016,Barrels,0,-23000
Madagascar,54364625000,0.01%,2126,84%,68%,0%,16%,16%,3026047,2.85%,24894370,0.12,0.01%,0,0,566337,552763,0,552763,2016,Tons ,,-566337,,,,,,,,,,,0,0,18000,0,0,,2016,Barrels,0,-18000
Mali,60540614000,0.01%,3270,78%,78%,0%,0%,22%,1606421,2.57%,17965443,0.09,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,21999,45,0,45,2016,Barrels,,-21999
Burkina Faso,49416394000,0.01%,2575,92%,92%,0%,0%,8%,2352070,3.14%,18646357,0.13,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,23000,0,0,,2016,Barrels,0,-23000
State of Palestine,65933937000,0.01%,13889,70%,70%,0%,0%,30%,,,,,,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,24001,23,0,23,2016,Barrels,,-24001
Gabon,68381605000,0.01%,33117,87%,65%,22%,0%,13%,5694208,1.12%,2007873,2.84,0.02%,0,0,0,0,0,,2016,Tons ,,0,1000000,91042,13349,0,0,,2015,Million Cubic Ft,0,77693,2000000000,210428,21000,0,205218,,2016,Barrels,205218,189428
Macao,48682524000,0.01%,78194,73%,60%,14%,0%,27%,3106518,7.19%,612836,5.07,0.01%,0,0,0,0,0,,2016,Tons ,,0,0,0,68,75,0,75,2015,Million Cubic Ft,,-68,0,0,17110,0,0,,2016,Barrels,0,-17110
Bhutan,61282453000,0.01%,82196,11%,9%,0%,2%,89%,1682100,6.14%,736708,2.28,0.00%,0,129833,96000,21467,0,21467,2016,Tons ,,33833,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,3001,0,0,,2016,Barrels,0,-3001
Estonia,87785565000,0.02%,66535,89%,67%,21%,1%,11%,22402414,1.01%,1316510,17.02,0.06%,0,0,19762,19642,0,19642,2016,Tons ,,-19762,0,0,16633,16633,0,16633,2015,Million Cubic Ft,,-16633,0,16000,28855,0,0,,2016,Barrels,0,-12855
Mauritius,90076344000,0.02%,71235,93%,72%,0%,21%,7%,3192307,0.00%,1261865,2.53,0.01%,0,0,772967,1020188,0,1020188,2016,Tons ,,-772967,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,517,28000,0,0,,2016,Barrels,0,-27483
Namibia,79767587000,0.01%,33200,70%,70%,0%,0%,30%,3901830,4.42%,2358044,1.65,0.01%,0,0,5524,5524,0,5524,2016,Tons ,,-5524,2200000,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,26000,130,1,129,2016,Barrels,,-26000
New Caledonia,78485011000,0.01%,283186,95%,57%,0%,38%,5%,2338717,7.22%,274191,8.53,0.01%,2204620,0,1155221,1188248,0,1188248,2016,Tons ,,-1155221,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,20000,0,0,,2016,Barrels,0,-20000
Equatorial Guinea,59811150000,0.01%,47394,92%,18%,74%,0%,8%,2156371,0.00%,1215180,1.77,0.01%,0,0,0,0,0,,2016,Tons ,,0,1300000,296646,42025,0,176928,,2015,Million Cubic Ft,176928,254621,1100000000,244000,5200,0,188257,,2016,Barrels,188257,238800
Uganda,97180787000,0.02%,2361,66%,66%,0%,0%,34%,5009493,3.82%,39649166,0.13,0.01%,0,0,0,0,0,,2016,Tons ,,0,500000,0,0,0,0,,2015,Million Cubic Ft,,0,2500000000,0,32001,0,0,,2016,Barrels,0,-32001
